WILD PROTOCOL  |  12-MONTH REVENUE PROJECTION MODEL,,,,,,,,,,,,,,,,,
"Target: 50,000 Customers  |  $5M+ Course Revenue  |  $6-18M/yr Community MRR  |  Yellow = input cell",,,,,,,,,,,,,,,,,
KEY ASSUMPTIONS,,,,,12-MONTH REVENUE PROJECTION  (Assumptions drive all formulas),,,,,,,,,,,,
Assumption,Value,,,,Metric,Mo 1,Mo 2,Mo 3,Mo 4,Mo 5,Mo 6,Mo 7,Mo 8,Mo 9,Mo 10,Mo 11,Mo 12
Tier 1 Course Price ($),50,,,,Email List Size,1000,,,,,,,,,,,
Tier 2 Course Price ($),100,,,,New Subscribers (mo),1000,,,,,,,,,,,
Tier 3 Course Price ($),200,,,,Course Buyers (mo),,,,,,,,,,,,
Avg Community Price Discord ($),25,,,,Tier 1 Revenue ($),,,,,,,,,,,,
Avg Community Price Telegram ($),15,,,,Tier 2 Revenue ($),,,,,,,,,,,,
Tier 1 Share of Buyers,0.6,,,,Tier 3 Revenue ($),,,,,,,,,,,,
Tier 2 Share of Buyers,0.3,,,,Total Course Revenue ($),,,,,,,,,,,,
Tier 3 Share of Buyers,0.1,,,,Community Members,,,,,,,,,,,,
Email-to-Course Conversion Rate,0.08,,,,Monthly Community MRR ($),,,,,,,,,,,,
Course-to-Community Conversion Rate,0.6,,,,TOTAL MONTHLY REVENUE ($),,,,,,,,,,,,
Monthly Email List Growth Rate,0.12,,,,,,,,,,,,,,,,
Monthly Community Churn Rate,0.05,,,,REVENUE MILESTONES,,,,,,,,,,,,
Discord/Telegram Split (Discord %),0.6,,,,$1K/month  |  Month 1 — initial launch,,$5K/month  |  Month 3-4 — consistent execution,,$20K/month  |  Month 8-9 — scale kicks in,,$100K/month  |  Month 12+ — compounding community,,$5M+ courses  |  Full penetration of Tier 1/2/3,,"$6-18M/yr MRR  |  At 50,000 community members",,
Yellow = hardcoded inputs. Adjust scenarios here.,,,,,,,,,,,,,,,,,
