TIER 2  |  WILD ADVANCED PRACTITIONER  |  $100  |  10 Modules  |  ~3 Hours Total,,,,,,,,,,,,,,,
"Target: Tier 1 graduates or people with prior WILD experience. Focuses on consistency, optimization, hardware, and cognitive performance application.",,,,,,,,,,,,,,,
Module,Title,,,Length,Core Learning Objective,,,Key Topics Covered,,,Deliverable / Exercise,,Unlock Requirement,,Status
M1,Advanced Induction Techniques,,,20 min,Student can execute 3 WILD variants and understands which to use for each sleep window.,,,"WILD variants: SSILD, DEILD (Dream Exit Induced), WILD-WBTB combined. Shortened induction (under 5 min with REM pressure). Entry through audio, tactile, and visual channels. Troubleshooting failed transitions.",,,Attempt DEILD this week. Log the difference in transition speed vs standard WILD. Document your fastest entry time.,,Complete Tier 1 or demonstrate hypnagogic awareness,,Record
M2,Extended Lucid Duration (2-4+ Hours),,,18 min,Student can sustain lucidity beyond 30 minutes using advanced stabilization stacking and intentional sleep cycling.,,,"Stacking stabilization techniques (spin + touch + declare). Re-entering a dream after brief wake. Chaining dreams. Recognizing early destabilization signals. Creating stable ""base environments"" to return to.",,,Set intention to extend your next lucid to at least 15 minutes. Use all 3 stabilization techniques sequentially. Log duration.,,Achieved 2+ lucid dreams,,Record
M3,Cognitive Task Protocols,,,22 min,"Student has 4 specific protocols for using lucid time for professional cognitive tasks: problem-solving, creativity, rehearsal, and emotional processing.",,,Mental rehearsal protocol (sports + professional skills). Creative problem-solving session design. Architectural/design walkthroughs. Emotional processing protocol. How to set intention with enough specificity for REM to generate relevant content.,,,Choose one professional task. Write a 3-sentence intention. Execute on next lucid. Journal insights on waking. Compare to waking attempts at the same problem.,,Achieved 5+ lucid dreams,,Record
M4,Sleep Architecture Optimization,,,16 min,Student can manipulate their sleep schedule to maximize WILD-accessible REM cycles and track REM quality with existing wearables.,,,REM cycle timing by sleep position (early vs late night). How sleep debt affects WILD access. Polyphasic approaches for practitioners. Using Oura/Whoop/Apple Watch data to optimize WBTB timing. Interpreting HRV data for WILD readiness.,,,"For 7 nights, record your wearable data alongside WILD attempts. Identify your personal optimal WBTB window. Share in Discord #sleep-data.",,Tier 1 complete,,Record
M5,EEG & Neurotechnology Integration,,,20 min,Student understands the consumer neurotechnology landscape and how to integrate hardware tools as practice accelerators (not replacements for skill).,,,"Overview: Dreem 3, Neurosity Crown, Zmax Headband, Aurora Dreamband. How they work (REM detection + stimulus delivery). Honest cost-benefit analysis. DIY approaches: audio cues, light masks, phone apps. How hardware amplifies trained skill.",,,Research one device that fits your budget. If owning one: log 7 nights with hardware-assisted vs unassisted WILD. Compare results.,,Tier 1 complete,,Record
M6,Nootropic Stack for Lucid Dreaming,,,16 min,Student understands the evidence base for lucid dreaming supplements and how to safely use them as adjuncts to the protocol.,,,"Galantamine: mechanism, dosing (4-8mg at WBTB), evidence. Alpha-GPC: synergy with galantamine. Mugwort: traditional use + mild evidence. Vitamin B6: dream vividness effect. 5-HTP: REM rebound caution. What to avoid. Cycling approach to prevent tolerance.",,,If comfortable: trial galantamine (4mg) on one WBTB night. Log effect on transition speed and lucidity. Compare tracked data to baseline.,,"Tier 1 complete, no contraindications",,Record
M7,Reality Testing & Metacognitive Training,,,14 min,"Student has a daily metacognitive practice that increases baseline self-awareness, making lucid entry faster and more reliable.",,,"Reality checks: which work (nose pinch, hand check, text check) and why. Metacognitive journaling as daytime WILD prep. Waking life awareness training. Critical question habit: ""Am I dreaming?"" How daytime practice maps to dream state.",,,Install 3 reality check reminders daily for 2 weeks. Log whether REM success rate increases. Post data in Discord #technique-lab.,,Tier 1 complete,,Record
M8,Dream Control & Environment Design,,,18 min,"Student can reliably navigate and modify the dream environment, summon specific people/objects, and use teleportation techniques.",,,"Expectation-based dream generation (the most reliable control mechanism). Teleportation: spinning, doors, mirrors. Summoning people or objects. Environmental stabilization. Working with dream characters as information sources. Limits of control.",,,In your next lucid dream: intentionally change one element of the environment. Walk through a door expecting a new scene. Log whether it worked and what appeared.,,Achieved 10+ lucid dreams,,Record
M9,Advanced Performance Tracking System,,,12 min,"Student has a quantified self system for WILD that tracks attempt success rate, technique performance, and cognitive output quality.",,,"Advanced tracking template (beyond the 7-night log). Multi-cycle success rate analysis. Tracking cognitive output quality (ideas generated, problems solved). Integration with Notion or Obsidian. Feeding tracked data back to Claude API for pattern analysis.",,,Set up the advanced tracking template in Notion or Excel. Run one full 30-night tracking cycle. Share your Month 1 success rate data in Discord.,,Completed 4+ weeks of WILD practice,,Record
M10,Building Your Personal WILD System,,,14 min,"Student has a fully personalized, documented WILD system that they can maintain indefinitely and potentially teach to others.",,,Personalizing the protocol based on your tracked data. Building a WILD habit stack. Your optimal pre-sleep stack (timing + techniques + supplements if used). Scaling frequency and depth of practice. Preview of Tier 3 and retreat preparation.,,,"Write your personal WILD system in one page: your optimal setup, best technique, WBTB timing, and success rate. Share in Discord #wins.",,Complete Modules 1-9,,Record
