WILD PROTOCOL  |  COURSE CONTENT OVERVIEW  |  All Three Tiers,,,,,,,,,,,,,,,
Tier 1: Foundations ($50)  |  Tier 2: Advanced Practitioner ($100)  |  Tier 3: Master + Retreat ($200),,,,,,,,,,,,,,,
TIER COMPARISON,,,,,,,,,,,,,,,
Attribute,,,Tier 1 — Foundations,,,,Tier 2 — Advanced Practitioner,,,,Tier 3 — Master + Retreat,,,,
Price,,,$50,,,,$100,,,,$200,,,,
Modules,,,7 core modules,,,,10 advanced modules,,,,6 mastery modules + Retreat,,,,
Total Video Hours,,,~90 minutes,,,,~3 hours,,,,~2 hours + live sessions,,,,
Delivery,,,"Self-paced, instant access",,,,Self-paced + bonus Q&A,,,,Self-paced + live calls + retreat,,,,
Protocol Focus,,,Nights 1-7 full walkthrough,,,,Extended technique + hardware,,,,Advanced integration + teaching,,,,
Tracking System,,,Basic 7-night log,,,,Advanced multi-cycle tracking,,,,Full practitioner data system,,,,
Community Access,,,Discord Dreamer role,,,,Discord Practitioner role,,,,Discord Master + priority support,,,,
Bonus Content,,,Sleep paralysis guide PDF,,,,Nootropic stack guide + EEG report,,,,Retreat prep guide + 1:1 session,,,,
Upsell Path,,,Email prompt to Tier 2 at Day 30,,,,Email prompt to Tier 3 at Day 60,,,,Community leadership + referral program,,,,
Target Student,,,Total beginner to WILD,,,,Completed Tier 1 or similar,,,,Tier 2 graduate or advanced practitioner,,,,
PRE-LAUNCH PRODUCTION CHECKLIST,,,,,,,,,,,,,,,
Item,,,,Tier 1,,Tier 2,,Tier 3,,Notes,,,,,
Video script written,,,,[ ],,[ ],,[ ],,Scripts derived from Protocol PDF + Community Strategy doc,,,,,
Video recorded (screen + face cam),,,,[ ],,[ ],,[ ],,Loom or OBS. No studio needed. Authenticity wins.,,,,,
Video edited + captions added,,,,[ ],,[ ],,[ ],,CapCut or DaVinci Resolve (free),,,,,
Module uploaded to course platform,,,,[ ],,[ ],,[ ],,Gumroad (fast launch) or Kajabi/Teachable (full LMS),,,,,
Course sales page written + live,,,,[ ],,[ ],,[ ],,Use CTA formula from Marketing Funnel doc,,,,,
Email sequence updated with course link,,,,[ ],,[ ],,[ ],,Replace [LINK] in Email 03 with actual course URL,,,,,
Discord role auto-assigned on purchase,,,,[ ],,[ ],,[ ],,Gumroad webhook -> Discord role via Carl-bot or Zapier,,,,,
PDF bonuses attached to course,,,,[ ],,[ ],,[ ],,"Sleep paralysis PDF (T1), Nootropic guide (T2), Retreat guide (T3)",,,,,
Upsell email drafted + scheduled,,,,[ ],,[ ],,[ ],,"Day 30 upsell (T1->T2), Day 60 upsell (T2->T3)",,,,,
