WILD DISCORD — BIOHACKER COMMUNITY WEEKLY PROGRAMMING,,,,,,,,
Week #,Day,Event Type,Title,Description,Who Leads,Time (UTC),Resources,Status
1,Mon,Weekly Challenge,7-Night Protocol Challenge: Night 1,Complete Night 1 of the circadian preparation protocol. Share your sleep timing plan and light exposure schedule.,Admin,09:00,Protocol PDF,Draft
1,Tue,Paper Discussion,Gamma Wave Activity in Lucid REM,Discussion of Voss et al. study on 40Hz gamma activation in prefrontal cortex during lucid dreaming. What does this mean for trainability?,Admin,18:00,Paper link,Draft
1,Wed,Member Spotlight,Welcome + Introductions,"First week: everyone introduces themselves, their optimization stack, and what brought them to WILD.",Community,All day,Intro template,Draft
1,Thu,Technique Deep-Dive,WBTB Timing Optimization,Finding your personal REM window. How to use sleep tracker data to identify optimal WBTB alarm timing.,Admin,18:00,Timing calculator,Draft
1,Fri,Data Review,Night 1-4 Tracking Share,Share your first tracking data. We analyze patterns collectively. What's your circadian consistency score?,Community,18:00,Tracking template,Draft
1,Sat,Live Q&A,Week 1 Voice Q&A Session,Live voice channel session answering all Week 1 questions. Troubleshooting circadian prep issues.,Admin,16:00,Voice channel,Draft
1,Sun,Pod Check-in,Accountability Pod Formation,Form groups of 5. Exchange daily check-in commitments. Your pod is your support system.,Community,All day,Pod signup form,Draft
2,Mon,Weekly Challenge,Hypnagogia Observation Challenge,"This week: observe hypnagogic imagery for 3 consecutive nights. Log what you see, hear, and feel.",Admin,09:00,Observation guide,Draft
2,Tue,Paper Discussion,Default Mode Network in Sleep,How the DMN operates during sleep transitions. Why hypnagogia produces creative insights.,Admin,18:00,Paper link,Draft
2,Wed,Member Spotlight,First Hypnagogia Reports,Members share their first conscious hypnagogic experiences. What patterns are emerging?,Community,All day,,Draft
2,Thu,Technique Deep-Dive,The Three Anchor Techniques,"Breath anchor, sensory anchor, visual anchor — which works best for analytical minds?",Admin,18:00,Technique guide,Draft
2,Fri,Data Review,Week 2 Tracking Analysis,Comparing Week 1 vs. Week 2 data. Are circadian adjustments improving REM windows?,Community,18:00,Tracking template,Draft
2,Sat,Workshop,Biofeedback: Reading Your Sleep Data,How to interpret Oura/Whoop/Apple Watch sleep stages for WILD optimization.,Admin,16:00,Sample data,Draft
2,Sun,Pod Check-in,Pod Progress Reports,Each pod shares aggregate data. Which pod has the highest hypnagogia detection rate?,Community,All day,,Draft
3,Mon,Weekly Challenge,Sleep Paralysis Preparation,"This week: if SP occurs, practice the stabilization protocol. Focus on physiological understanding.",Admin,09:00,SP guide,Draft
3,Tue,Paper Discussion,REM Atonia Mechanisms,The glycine/GABA pathway that creates sleep paralysis. Understanding the physiology eliminates fear.,Admin,18:00,Paper link,Draft
3,Wed,Member Spotlight,Breakthrough Stories,Members who achieved first moments of lucidity share their experience. What technique worked?,Community,All day,,Draft
3,Thu,Technique Deep-Dive,Sleep Paralysis as Gateway,"Reframing SP: the physiology, the experience, and the 30-90 second transition window.",Admin,18:00,SP protocol,Draft
3,Fri,Data Review,Week 3 Success Rates,Who reached hypnagogia? Who experienced SP? Who achieved lucidity? Building our dataset.,Community,18:00,,Draft
3,Sat,Live Q&A,SP Troubleshooting Session,"Voice channel: addressing fears, sharing experiences, building confidence around sleep paralysis.",Admin,16:00,Voice channel,Draft
3,Sun,Pod Check-in,Pod Data Comparison,Pods compare success rates. Identify what the highest-performing pods are doing differently.,Community,All day,,Draft
4,Mon,Weekly Challenge,First Full Lucid Dream Attempt,Night 5-6 territory. Full WILD attempt with all preparation steps.,Admin,09:00,Full protocol,Draft
4,Tue,Paper Discussion,Metacognition During REM Sleep,How prefrontal activation during lucid dreaming compares to waking metacognition.,Admin,18:00,Paper link,Draft
4,Wed,Member Spotlight,First Lucid Dream Reports,"Members share first full lucid experiences. Duration, clarity, what they did.",Community,All day,,Draft
4,Thu,Technique Deep-Dive,Lucidity Stabilization Techniques,"Sensory grounding, the spin technique, vocal declaration. Preventing premature wake-up.",Admin,18:00,Stabilization guide,Draft
4,Fri,Data Review,Month 1 Complete Data,"Full month of tracking. Success rates, patterns, correlations. Building the community dataset.",Community,18:00,,Draft
4,Sat,Workshop,Month 1 Retrospective + Month 2 Preview,"What worked, what didn't. Advanced techniques preview for Month 2.",Admin,16:00,Retrospective template,Draft
4,Sun,Pod Check-in,Pod Month 1 Reviews,Pods review collective progress. Set Month 2 goals.,Community,All day,,Draft
5,Mon,Weekly Challenge,Supplement Experimentation Week,Optional: galantamine micro-dosing protocol for enhanced REM. Safety-first approach.,Admin,09:00,Supplement guide,Draft
5,Tue,Paper Discussion,Cholinergic System and Lucid Dreaming,How acetylcholine modulators affect REM quality and lucidity induction.,Admin,18:00,Paper link,Draft
5,Wed,Member Spotlight,30-Day Streak Members,Celebrating members who completed 30 consecutive nights of practice.,Community,All day,,Draft
5,Thu,Technique Deep-Dive,WILD Chaining: Multiple Lucid Dreams Per Night,Advanced technique for re-entering lucidity after brief waking within the same night.,Admin,18:00,Chaining guide,Draft
5,Fri,Data Review,Supplement vs. No-Supplement Comparison,Community data: does supplementation actually improve success rates?,Community,18:00,,Draft
5,Sat,Live Q&A,Advanced Techniques Q&A,"Voice session on advanced methods, troubleshooting, and optimization.",Admin,16:00,Voice channel,Draft
5,Sun,Pod Check-in,Pod Advanced Practice Reports,Pods testing different advanced techniques — comparing results.,Community,All day,,Draft
6,Mon,Weekly Challenge,Mental Rehearsal in Lucid Dreams,This week's task: use a lucid dream to rehearse a specific real-world skill or scenario.,Admin,09:00,Rehearsal protocol,Draft
