TIER 3  |  WILD MASTER + RETREAT ACCESS  |  $200  |  6 Modules + Live Sessions + Annual Retreat,,,,,,,,,,,,,,,
"Target: Tier 2 graduates and advanced practitioners. Focuses on mastery, integration, teaching, and the annual 3-day virtual retreat.",,,,,,,,,,,,,,,
Module,Title,,,Format / Length,,Core Learning Objective,,,Key Topics Covered,,,Deliverable / Exercise,,Live Component,Status
M1,Advanced Dream Architecture,,,Video / 20 min,,"Student can construct complex, stable, purposeful dream environments and use them as cognitive workspaces for extended sessions.",,,"Dream world building: persistent environments, AI-like characters as cognitive tools. Dream time dilation (subjective vs clock time). Multi-session projects: returning to the same environment. Lucid sleep micro-nap protocols.",,,Build one persistent environment over 3 separate lucid sessions. Document it. Bring a specific project to that environment.,,Monthly live Q&A,Record
M2,Multi-Night Project Planning,,,Video / 18 min,,"Student can design and execute a 7-night lucid project with defined cognitive objectives, milestones, and documented outputs.",,,Scoping a lucid project (too broad vs too narrow). Creating project brief before sleep cycle. Tracking output across nights. Comparing lucid insights to waking-state solutions. Case studies from practitioners.,,,Design a 7-night lucid project around a real problem or creative goal. Execute it. Write a 1-page report on outcomes. Share in community.,,None,Record
M3,Teaching WILD to Others,,,Video / 16 min,,"Student can introduce WILD to a complete beginner, troubleshoot common failure modes, and serve as a community guide.",,,"Common beginner misconceptions. Adapting the biohacker vs spiritual framing. Troubleshooting: sleep consistency, SP fear, low recall. Leading a group protocol session. Community moderation principles. Becoming a Discord Guide.",,,Lead one onboarding conversation with a new community member. Post your teaching debrief in the Tier 3 channel.,,Monthly live Q&A,Record
M4,Integration with Waking Life Systems,,,Video / 14 min,,"Student has connected their WILD practice to their waking productivity and performance systems (Notion, journaling, creative workflow).",,,"Morning integration routine: journal to action in under 10 minutes. WILD outputs as creative inputs (ideas, solutions, designs). Notion template for WILD project tracking. Connecting REM insights to waking creative workflows.",,,Build or adapt the Notion WILD tracker template. Use it for 2 weeks. Share a screenshot of an insight that made it into your real work.,,None,Record
M5,Community Leadership & Referral,,,Video / 10 min,,"Student can mentor community members, host accountability sessions, and leverage the referral program.",,,"Mentorship role in Discord. Running accountability pods. Hosting your own community events. The WILD referral program: commission structure, shareable links. Creating your own WILD content (short-form) as a practitioner.",,,Mentor one Tier 1 student through their first 7 nights. Write a brief case study on their progress.,,Monthly live Q&A,Record
M6,Annual Virtual Retreat Preparation,,,Video / 8 min + Retreat,,"Student is mentally and practically prepared for the 3-day virtual retreat and understands the format, objectives, and expected outcomes.",,,"Retreat format: 3 days, 6 sessions, 30 participants max. Objectives: breakthrough lucid experience, community bonding, advanced technique deep-dives. Preparation: sleep schedule, pre-retreat intention setting, technical requirements. Post-retreat integration.",,,"Complete retreat pre-work packet (intention statement, project brief, personal WILD history). Submit 1 week before retreat.",,3-Day Virtual Retreat ($300-500 value included),Record
LIVE SESSIONS SCHEDULE (Recurring),,,,,,,,,,,,,,,
Session Type,,,Frequency,,Duration,Format,,Content,,,,,Capacity,,
Monthly Live Q&A,,,Monthly,,60 min,Zoom / Google Meet,,"Open Q&A, technique troubleshooting, practitioner stories, community updates",,,,,50 participants max,,
Advanced Technique Workshop,,,Quarterly,,90 min,Zoom,,"Deep-dive on one technique (DEILD, SSILD, dream architecture, cognitive protocols)",,,,,30 participants max,,
Annual Virtual Retreat — Day 1,,,Annual,,4 hours,Zoom,,"Welcome, advanced induction session, community sharing, evening lucid practice",,,,,30 participants max,,
Annual Virtual Retreat — Day 2,,,Annual,,6 hours,Zoom,,"Advanced technique workshop AM, project sessions PM, troubleshooting, peer coaching",,,,,30 participants max,,
Annual Virtual Retreat — Day 3,,,Annual,,4 hours,Zoom,,"Integration and next-steps, milestone celebrations, referral program briefing, community future",,,,,30 participants max,,
